Number	Company	Kitakata	Wakamatsu	Inawashiro	Oji		Ikebukuro	Shinjuku
2	Aizubus	-999		630		700		1031		1041		1105
4	Aizubus	650		730		-999		1116		1126		1150
6	JRbus	-999		830		900		1240		1250		1314
8	Aizubus	-999		930		-999		1316		1326		1350
10	Aizubus	-999		1030		-999		1416		1426		1450
12	Aizubus	-999		1130		-999		1516		1526		1550
14	JRbus	-999		1430		1500		1840		1850		1914
16	JRbus	-999		1600		-999		1955		2005		2029
18	JRbus	-999		1700		1730		2110		2120		2144
20	JRbus	1720		1800		-999		2155		2205		2229
22	JRbus	-999		2300		2330		 536		 546		 610
